time_close,time_period_start,time_period_end,time_open,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-02-28 23:59:59.996559+00:00,2022-02-28T00:00:00.0000000Z,2022-03-01T00:00:00.0000000Z,2022-02-28T00:00:00.1830660Z,37716.57,44256.08,37447.6,43192.66,46860.50600319,876066
2022-03-01 23:59:59.669756+00:00,2022-03-01T00:00:00.0000000Z,2022-03-02T00:00:00.0000000Z,2022-03-01T00:00:00.0122800Z,43189.61,45014.0,42820.241,44439.95,42800.23136523,848446
2022-03-02 23:59:59.885727+00:00,2022-03-02T00:00:00.0000000Z,2022-03-03T00:00:00.0000000Z,2022-03-02T00:00:00.1103440Z,44440.0,45426.45,43342.16,43912.34,30984.72995775,736808
2022-03-03 23:59:59.426247+00:00,2022-03-03T00:00:00.0000000Z,2022-03-04T00:00:00.0000000Z,2022-03-03T00:00:00.0848360Z,43916.47,44136.36,41807.0,42464.41,32033.64934011,674679
2022-03-04 23:59:59.986897+00:00,2022-03-04T00:00:00.0000000Z,2022-03-05T00:00:00.0000000Z,2022-03-04T00:00:00.1040000Z,42463.75,42540.57,38546.0,39166.51,43880.79951583,843303
2022-03-05 23:59:59.761006+00:00,2022-03-05T00:00:00.0000000Z,2022-03-06T00:00:00.0000000Z,2022-03-05T00:00:00.0173710Z,39166.5,39624.6,38587.27,39402.43,13472.81187982,433564
2022-03-06 23:59:59.995818+00:00,2022-03-06T00:00:00.0000000Z,2022-03-07T00:00:00.0000000Z,2022-03-06T00:00:00.0161390Z,39407.87,39730.5,38091.02,38408.38,17159.89875646,455181
2022-03-07 23:59:59.920000+00:00,2022-03-07T00:00:00.0000000Z,2022-03-08T00:00:00.0000000Z,2022-03-07T00:00:00.1602220Z,38406.82,39559.0,37159.4,38000.0,33243.15978935,729025
2022-03-08 23:59:59.778254+00:00,2022-03-08T00:00:00.0000000Z,2022-03-09T00:00:00.0000000Z,2022-03-08T00:00:00.1537160Z,37991.05,39377.81,37851.54,38749.38,30950.17041955,681917
2022-03-09 23:59:59.950121+00:00,2022-03-09T00:00:00.0000000Z,2022-03-10T00:00:00.0000000Z,2022-03-09T00:00:00.1492750Z,38749.16,42597.84,38655.98,41953.97,39555.89110729,745326
