time_close,time_period_start,time_period_end,time_open,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-02-28 23:59:59.705241+00:00,2022-02-28T00:00:00.0000000Z,2022-03-01T00:00:00.0000000Z,2022-02-28T00:00:00.1910740Z,2617.79,2966.116,2570.0,2923.08,440259.06878556,835324
2022-03-01 23:59:59.022998+00:00,2022-03-01T00:00:00.0000000Z,2022-03-02T00:00:00.0000000Z,2022-03-01T00:00:00.0009820Z,2922.87,3042.3,2853.08,2977.72,386871.62583801,848452
2022-03-02 23:59:59.041707+00:00,2022-03-02T00:00:00.0000000Z,2022-03-03T00:00:00.0000000Z,2022-03-02T00:00:00.0116440Z,2977.72,3045.71,2914.87,2948.56,334471.2733216,781043
2022-03-03 23:59:59.480800+00:00,2022-03-03T00:00:00.0000000Z,2022-03-04T00:00:00.0000000Z,2022-03-03T00:00:00.0126290Z,2948.58,2972.07,2784.54,2833.66,283586.81151124,627345
2022-03-04 23:59:59.651116+00:00,2022-03-04T00:00:00.0000000Z,2022-03-05T00:00:00.0000000Z,2022-03-04T00:00:00.1281310Z,2833.71,2836.47,2573.0,2623.07,383698.51413009,765476
2022-03-05 23:59:59.661344+00:00,2022-03-05T00:00:00.0000000Z,2022-03-06T00:00:00.0000000Z,2022-03-05T00:00:00.1478520Z,2623.08,2686.64,2588.7,2665.77,105069.30209209,455880
2022-03-06 23:59:59.976825+00:00,2022-03-06T00:00:00.0000000Z,2022-03-07T00:00:00.0000000Z,2022-03-06T00:00:00.2227040Z,2665.94,2677.0,2533.06,2550.77,120497.20562528,434850
2022-03-07 23:59:59.951105+00:00,2022-03-07T00:00:00.0000000Z,2022-03-08T00:00:00.0000000Z,2022-03-07T00:00:00.0069020Z,2550.46,2649.81,2444.75,2491.58,328416.95117054,711208
2022-03-08 23:59:59.861529+00:00,2022-03-08T00:00:00.0000000Z,2022-03-09T00:00:00.0000000Z,2022-03-08T00:00:00.0549040Z,2491.29,2626.16,2480.33,2576.72,290013.82670364,808055
2022-03-09 23:59:59.728274+00:00,2022-03-09T00:00:00.0000000Z,2022-03-10T00:00:00.0000000Z,2022-03-09T00:00:00.1829890Z,2577.11,2775.88,2567.98,2727.6,281661.47881547,622216
2022-03-10 23:59:59.544000+00:00,2022-03-10T00:00:00.0000000Z,2022-03-11T00:00:00.0000000Z,2022-03-10T00:00:00.2877200Z,2727.86,2734.33,2546.81,2606.81,261506.10169391,596646
2022-03-11 23:59:58.827570+00:00,2022-03-11T00:00:00.0000000Z,2022-03-12T00:00:00.0000000Z,2022-03-11T00:00:00.0133580Z,2608.46,2679.56,2523.28,2556.42,223877.12764173,573346
2022-03-12 23:59:59.733864+00:00,2022-03-12T00:00:00.0000000Z,2022-03-13T00:00:00.0000000Z,2022-03-12T00:00:00.0573100Z,2556.39,2624.0,2552.52,2569.3,81702.07888887,343135
2022-03-13 23:59:59.991285+00:00,2022-03-13T00:00:00.0000000Z,2022-03-14T00:00:00.0000000Z,2022-03-13T00:00:00.0515640Z,2569.09,2603.56,2486.87,2516.41,123099.34778125,446711
2022-03-14 23:59:59.814954+00:00,2022-03-14T00:00:00.0000000Z,2022-03-15T00:00:00.0000000Z,2022-03-14T00:00:00.8595410Z,2516.42,2609.86,2499.0,2590.23,198402.36447873,541705
2022-03-15 23:59:58.854489+00:00,2022-03-15T00:00:00.0000000Z,2022-03-16T00:00:00.0000000Z,2022-03-15T00:00:00.7729810Z,2590.12,2671.55,2506.12,2619.15,244869.77723301,594386
2022-03-16 23:59:59.984205+00:00,2022-03-16T00:00:00.0000000Z,2022-03-17T00:00:00.0000000Z,2022-03-16T00:00:00.2519820Z,2619.01,2791.32,2574.89,2774.89,320548.50076804,903642
2022-03-17 23:59:59.240462+00:00,2022-03-17T00:00:00.0000000Z,2022-03-18T00:00:00.0000000Z,2022-03-17T00:00:00.1237200Z,2775.16,2840.49,2744.06,2814.67,306059.14299264,741630
2022-03-18 23:59:59.965000+00:00,2022-03-18T00:00:00.0000000Z,2022-03-19T00:00:00.0000000Z,2022-03-18T00:00:00.0452090Z,2814.62,2987.47,2766.45,2940.01,342474.12022276,805129
2022-03-19 23:59:59.058764+00:00,2022-03-19T00:00:00.0000000Z,2022-03-20T00:00:00.0000000Z,2022-03-19T00:00:00.1743300Z,2939.18,2990.66,2888.88,2952.16,141690.00040958,526729
2022-03-20 23:59:59.991497+00:00,2022-03-20T00:00:00.0000000Z,2022-03-21T00:00:00.0000000Z,2022-03-20T00:00:00.1264170Z,2952.35,2965.97,2817.65,2862.44,140884.53748426,463711
2022-03-21 23:59:59.978472+00:00,2022-03-21T00:00:00.0000000Z,2022-03-22T00:00:00.0000000Z,2022-03-21T00:00:00.0578720Z,2862.44,2965.26,2832.97,2891.08,225206.23135996,589744
2022-03-22 23:59:59.654935+00:00,2022-03-22T00:00:00.0000000Z,2022-03-23T00:00:00.0000000Z,2022-03-22T00:00:00.0092110Z,2890.78,3057.49,2887.46,2970.51,275344.6090073,645884
2022-03-23 23:59:59.941537+00:00,2022-03-23T00:00:00.0000000Z,2022-03-24T00:00:00.0000000Z,2022-03-23T00:00:00.2313980Z,2970.51,3047.76,2920.421,3038.93,266056.24720721,601614
2022-03-24 23:59:59.660602+00:00,2022-03-24T00:00:00.0000000Z,2022-03-25T00:00:00.0000000Z,2022-03-24T00:00:00.1551280Z,3037.82,3131.42,3002.58,3112.52,329289.85703085,735475
2022-03-25 23:59:59.918955+00:00,2022-03-25T00:00:00.0000000Z,2022-03-26T00:00:00.0000000Z,2022-03-25T00:00:00.4136920Z,3112.95,3195.49,3076.18,3104.15,290118.36204276,653089
2022-03-26 23:59:58.197094+00:00,2022-03-26T00:00:00.0000000Z,2022-03-27T00:00:00.0000000Z,2022-03-26T00:00:00.0101800Z,3103.91,3154.76,3086.2,3146.22,88639.18646816,399639
2022-03-27 23:59:59.514794+00:00,2022-03-27T00:00:00.0000000Z,2022-03-28T00:00:00.0000000Z,2022-03-27T00:00:00.5259260Z,3146.33,3300.0,3127.74,3296.29,163386.13339739,483171
2022-03-28 23:59:59.957513+00:00,2022-03-28T00:00:00.0000000Z,2022-03-29T00:00:00.0000000Z,2022-03-28T00:00:00.0098240Z,3296.24,3437.24,3275.05,3334.47,350741.49542765,847664
2022-03-29 23:59:59.651438+00:00,2022-03-29T00:00:00.0000000Z,2022-03-30T00:00:00.0000000Z,2022-03-29T00:00:00.1179960Z,3334.19,3484.05,3331.15,3401.71,281530.08040819,696966
2022-03-30 23:59:59.797668+00:00,2022-03-30T00:00:00.0000000Z,2022-03-31T00:00:00.0000000Z,2022-03-30T00:00:00.0360960Z,3401.7,3448.63,3333.61,3386.68,189461.94347005,592740
2022-03-31 23:59:59.510685+00:00,2022-03-31T00:00:00.0000000Z,2022-04-01T00:00:00.0000000Z,2022-03-31T00:00:00.0249930Z,3386.69,3447.03,3260.82,3283.08,247077.09619957,620990
2022-04-01 23:59:59.666149+00:00,2022-04-01T00:00:00.0000000Z,2022-04-02T00:00:00.0000000Z,2022-04-01T00:00:00.4460000Z,3282.83,3483.35,3210.91,3456.48,303165.26079866,696373
2022-04-02 23:59:59.847921+00:00,2022-04-02T00:00:00.0000000Z,2022-04-03T00:00:00.0000000Z,2022-04-02T00:00:00.0180000Z,3454.65,3532.85,3429.24,3445.38,177744.6786663,531149
